ticker,display_name,asset_class,currency,region,venue,risk_sleeves,primary_vulnerability_tags,generic_safe_asset_flag,cash_like_flag,duration_bucket,inverse_or_leverage_flag,benchmark_role_default,max_grade_without_direct_match,min_adv_krw,candidate_role,notes_ko,group_tag,benchmark_group,is_core_hedge,candidate_role_reason_ko
005930.KS,Samsung Electronics,kr_stock,KRW,KR,KRX,semiconductor_ai_cycle|usdkrw_fx_korea|korea_domestic_credit,semiconductor_ai_cycle|korea_equity|krw_exposure,N,N,,N,N,C,50000000000,diagnostic_only,보유자산 취약점 원인 분석용,semiconductor,KOSPI200,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
000660.KS,SK Hynix,kr_stock,KRW,KR,KRX,semiconductor_ai_cycle|usdkrw_fx_korea|korea_domestic_credit,semiconductor_ai_cycle|korea_equity|krw_exposure,N,N,,N,N,C,30000000000,diagnostic_only,보유자산 취약점 원인 분석용,semiconductor,KOSPI200,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
005380.KS,Hyundai Motor,kr_stock,KRW,KR,KRX,usdkrw_fx_korea|geopolitical_supply_chain,korea_equity|export_cycle|krw_exposure,N,N,,N,N,C,15000000000,diagnostic_only,보유자산 취약점 원인 분석용,large_cap,KOSPI200,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
000270.KS,Kia,kr_stock,KRW,KR,KRX,usdkrw_fx_korea|geopolitical_supply_chain,korea_equity|export_cycle|krw_exposure,N,N,,N,N,C,12000000000,diagnostic_only,보유자산 취약점 원인 분석용,large_cap,KOSPI200,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
035420.KS,Naver,kr_stock,KRW,KR,KRX,rate_shock_growth_duration|usdkrw_fx_korea|korea_domestic_credit,growth_beta|platform|korea_equity|krw_exposure,N,N,,N,N,C,8000000000,diagnostic_only,보유자산 취약점 원인 분석용,platform,KOSPI200,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
035720.KS,Kakao,kr_stock,KRW,KR,KRX,rate_shock_growth_duration|usdkrw_fx_korea|korea_domestic_credit,growth_beta|platform|korea_equity|krw_exposure,N,N,,N,N,C,7000000000,diagnostic_only,보유자산 취약점 원인 분석용,platform,KOSPI200,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
207940.KS,Samsung Biologics,kr_stock,KRW,KR,KRX,rate_shock_growth_duration|korea_domestic_credit,quality_growth|korea_equity,N,N,,N,N,C,7000000000,diagnostic_only,보유자산 취약점 원인 분석용,healthcare,KOSPI200,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
068270.KS,Celltrion,kr_stock,KRW,KR,KRX,rate_shock_growth_duration|korea_domestic_credit,quality_growth|korea_equity,N,N,,N,N,C,6000000000,diagnostic_only,보유자산 취약점 원인 분석용,healthcare,KOSPI200,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
051910.KS,LG Chem,kr_stock,KRW,KR,KRX,rate_shock_growth_duration|geopolitical_supply_chain,battery_material|korea_equity,N,N,,N,N,C,8000000000,diagnostic_only,보유자산 취약점 원인 분석용,battery_material,KOSPI200,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
006400.KS,Samsung SDI,kr_stock,KRW,KR,KRX,rate_shock_growth_duration|geopolitical_supply_chain,battery_material|growth_beta|korea_equity,N,N,,N,N,C,8000000000,diagnostic_only,보유자산 취약점 원인 분석용,battery_material,KOSPI200,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
066570.KS,LG Electronics,kr_stock,KRW,KR,KRX,usdkrw_fx_korea|geopolitical_supply_chain,korea_equity|export_cycle,N,N,,N,N,C,6000000000,diagnostic_only,보유자산 취약점 원인 분석용,large_cap,KOSPI200,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
105560.KS,KB Financial,kr_stock,KRW,KR,KRX,korea_domestic_credit|rate_shock_growth_duration,korea_financial|credit_cycle,N,N,,N,N,C,8000000000,diagnostic_only,보유자산 취약점 원인 분석용,financial,KOSPI200,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
055550.KS,Shinhan Financial,kr_stock,KRW,KR,KRX,korea_domestic_credit|rate_shock_growth_duration,korea_financial|credit_cycle,N,N,,N,N,C,7000000000,diagnostic_only,보유자산 취약점 원인 분석용,financial,KOSPI200,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
005490.KS,POSCO Holdings,kr_stock,KRW,KR,KRX,inflation_energy_shock|geopolitical_supply_chain,korea_equity|materials_cycle,N,N,,N,N,C,7000000000,diagnostic_only,보유자산 취약점 원인 분석용,materials,KOSPI200,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
032830.KS,Samsung Life,kr_stock,KRW,KR,KRX,korea_domestic_credit|rate_shock_growth_duration,korea_financial|insurance,N,N,,N,N,C,5000000000,diagnostic_only,보유자산 취약점 원인 분석용,insurance,KOSPI200,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
034020.KS,Doosan Enerbility,kr_stock,KRW,KR,KRX,geopolitical_supply_chain|inflation_energy_shock,industrial|energy_infrastructure,N,N,,N,N,C,5000000000,diagnostic_only,보유자산 취약점 원인 분석용,industrial,KOSPI200,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
003670.KS,Posco Future M,kr_stock,KRW,KR,KRX,rate_shock_growth_duration|geopolitical_supply_chain,battery_material|growth_beta,N,N,,N,N,C,5000000000,diagnostic_only,보유자산 취약점 원인 분석용,battery_material,KOSPI200,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
