date,scenario_code,event_overlay_score,event_count,needs_review_count,avg_severity,avg_novelty,overlay_confidence,event_types,regions,direction_summary,top_event_titles,evidence_summary,source_count,engine_version
2026-05-11,acute_global_stress_liquidity_crunch,67.772589,1,0,65.0,58.0,78.0,credit,global,risk_off:1,Volatility rises as credit spreads widen from low levels,Reviewed fixture: credit and volatility pressure raises acute global stress evidence,1,phase5_event_overlay_v1
2026-05-11,china_trade_fragmentation_shock,68.772589,1,0,66.0,61.0,80.0,trade,china,trade_pressure:1,China demand and trade pressure weigh on Asia exporters,Reviewed fixture: China demand and trade pressure can spill into Korea semiconductor exposure,1,phase5_event_overlay_v1
2026-05-11,geopolitical_escalation_supply_shock,77.772589,1,0,75.0,70.0,82.0,geopolitics,global,risk_off:1,Shipping and oil risk rise after geopolitical escalation,Reviewed fixture: geopolitical escalation supports supply shock scenario only as an overlay to price signals,1,phase5_event_overlay_v1
2026-05-11,higher_for_longer_long_rate_shock,74.772589,1,0,72.0,62.0,84.0,rate,us,rate_up:1,Long-end yields stay high as policy patience continues,Reviewed fixture: long-end yield pressure remains a direct stress overlay for duration and growth assets,1,phase5_event_overlay_v1
2026-05-11,korea_domestic_financial_stress,69.772589,1,0,67.0,64.0,79.0,credit,korea,risk_off:1,Korean bank and construction shares lag on domestic credit concerns,Reviewed fixture: Korea domestic credit and property-finance stress is flagged for final merge review,1,phase5_event_overlay_v1
2026-05-11,semiconductor_ai_cycle_shock,75.772589,1,0,73.0,68.0,83.0,semiconductor,global,semiconductor_down:1,AI semiconductor leaders pull back as capex expectations are questioned,Reviewed fixture: AI and semiconductor proxy weakness supports the V2 cycle shock scenario,1,phase5_event_overlay_v1
2026-05-11,slowdown_recession_deflation_risk,46.772589,1,0,44.0,40.0,74.0,growth,global,growth_down:1,Services demand is slower but not recessionary,Reviewed fixture: softer demand is present but below standalone recession stress,1,phase5_event_overlay_v1
2026-05-11,soft_landing_goldilocks,60.772589,1,0,58.0,46.0,82.0,risk_sentiment,global,risk_on:1,Disinflation and steady growth support risk appetite,Reviewed fixture: risk appetite and stable growth support a favorable soft-landing diagnosis,1,phase5_event_overlay_v1
2026-05-11,stagflation_reinflation_energy_shock,71.772589,1,0,69.0,60.0,80.0,commodity,global,inflation_up:1,Oil and broad commodities rebound on supply concern,Reviewed fixture: commodity pressure supports reinflation and energy shock monitoring,1,phase5_event_overlay_v1
2026-05-11,usd_strength_krw_weakness,72.772589,1,0,70.0,62.0,84.0,fx,korea,fx_pressure:1,Won volatility keeps Korea portfolios exposed to dollar strength,Reviewed fixture: USD/KRW pressure remains a separate lens for Korean investors,1,phase5_event_overlay_v1
