ticker,asset_name,asset_class,scenario_code,scenario_name,scenario_name_ko,lens,scenario_beta,conditional_return_hit,downside_capture,direction,magnitude,sensitivity_level,confidence,method,sensitivity_version,method_priority,sample_count,sample_count_actual,direct_metric_count,source_quality,beta_stability,event_or_seed_dependent,window_start,window_end,active_hit_count,scenario_context_weight,scenario_trade_gate_weight,evidence_quality,gate_eligible,gate_reason,context_reason,scenario_return_beta,scenario_downside_beta,scenario_conditional_return,recommended_role,notes
000270.KS,000270.KS,kr_stock,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,0.64475,-0.002846,0.89975,positive,0.64475,medium,70.962151,rolling_beta,v3,1,1078,1078,4,market,pass,N,,2026-06-09,1,0.975204,0.975204,high,Y,trade-gated adverse scenario with medium/high evidence,active market context,-0.455203,0.89975,-0.002846,krw_weakness_vulnerable,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.
000270.KS,000270.KS,kr_stock,china_trade_fragmentation_shock,China / Trade Fragmentation Shock,중국·무역분절 충격장,china_asia,0.526938,-0.002846,0.89975,positive,0.526938,medium,65.435166,rolling_beta,v3,1,1078,1078,5,market,pass,N,,2026-06-09,1,0.963122,0.963122,high,Y,trade-gated adverse scenario with medium/high evidence,active market context,0.795141,0.89975,-0.002846,china_asia_shock_vulnerable,중국 경기·무역갈등·공급망 충격이 한국/아시아와 반도체 자산에 번지는 장세입니다. 한국 반도체 factor와 원화 약세를 함께 확인합니다.
000270.KS,000270.KS,kr_stock,acute_global_stress_liquidity_crunch,Acute Global Stress / Liquidity Crunch,급성 리스크오프/유동성 경색장,us_global,0.128049,-0.002846,0.0,positive,0.128049,low,76.127067,rolling_beta,v3,1,1185,1185,3,market,pass,N,,2026-06-09,1,0.942163,0.942163,high,Y,trade-gated adverse scenario with medium/high evidence,active market context,-0.040102,-0.045022,-0.002846,liquidity_stress_vulnerable,변동성이 튀고 위험자산이 동반 약세를 보이는 단기 스트레스 장세입니다. 상관관계 상승과 유동성 악화를 우선 점검합니다.
000270.KS,000270.KS,kr_stock,higher_for_longer_long_rate_shock,Higher-for-Longer / Long-Rate Shock,장기금리 부담장,us_global,0.0,-0.002846,0.0,neutral,0.0,low,62.128209,rolling_beta,v3,1,1185,1185,3,market,pass,N,,2026-06-09,1,0.908767,0.908767,high,Y,trade-gated adverse scenario with medium/high evidence,active market context,-0.040102,-0.045022,-0.002846,rate_sensitive,장기금리와 달러 강세 부담이 채권·성장주·신용자산을 압박하는 장세입니다. 고밸류 성장주와 반도체 factor 민감도를 점검합니다.
000270.KS,000270.KS,kr_stock,semiconductor_ai_cycle_shock,Semiconductor / AI Cycle Shock,AI·반도체 사이클 충격장,korea_semiconductor,0.296574,-0.002846,0.14107,positive,0.296574,low,43.672,rolling_beta,v3,1,1078,1078,6,market,pass,N,,2026-06-09,1,0.377914,0.0,medium,N,context only: WATCH state,context only: WATCH state,0.03395,0.14107,-0.002846,semiconductor_ai_shock_vulnerable,"AI capex 기대와 반도체 모멘텀이 꺾이면서 미국 성장주와 한국 반도체 대형주가 동시에 압박받는 장세입니다. SOXX, AI leader basket, 한국 반도체 basket의 동반 약세와 원화 압력을 함께 봅니다."
000270.KS,000270.KS,kr_stock,korea_domestic_financial_stress,Korea Domestic Financial Stress,한국 내수 금융스트레스장,korea_market,0.978897,-0.002846,0.89975,positive,0.978897,high,61.630274,rolling_beta,v3,1,1078,1078,5,seed,pass,Y,,2026-06-09,1,0.401006,0.0,medium,N,context only: source_quality=seed,context only: source_quality=seed,0.795141,0.89975,-0.002846,korea_financial_stress_vulnerable,"가계부채, 부동산 PF, 비은행권, 금융주와 건설주 스트레스가 한국 자산 전반으로 번지는 장세입니다. 금융/건설 basket, 신용 spread, 단기자금 spread, 원화 약세를 함께 점검합니다."
000270.KS,000270.KS,kr_stock,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,지정학 확전·공급충격장,geopolitical,-0.078862,-0.002846,0.0,negative,0.078862,low,65.604388,rolling_beta,v3,1,1078,1078,3,manual,pass,Y,,2026-06-09,1,0.398559,0.0,medium,N,context only: source_quality=manual,context only: source_quality=manual,-0.017068,,-0.002846,geopolitical_supply_shock_hedge,"전쟁, 제재, 해상로 차질, 대만·중동·한반도 긴장처럼 유가·금·방산·변동성이 동시에 움직이는 이벤트성 충격 장세입니다. 뉴스 overlay는 가격 신호를 보강하는 용도로만 해석합니다."
000270.KS,000270.KS,kr_stock,slowdown_recession_deflation_risk,Slowdown / Recession / Deflation Risk,경기둔화/침체 우려장,us_global,0.073527,-0.002846,0.0,positive,0.073527,low,72.589407,rolling_beta,v3,1,1185,1185,3,market,pass,N,,2026-06-09,0,0.0,0.0,high,N,scenario inactive,inactive scenario,-0.040102,-0.045022,-0.002846,slowdown_vulnerable,수요 둔화와 침체/디플레이션 압력이 커지는 방어적 장세입니다. 주식 beta와 신용위험을 보수적으로 봅니다.
000270.KS,000270.KS,kr_stock,stagflation_reinflation_energy_shock,Stagflation / Reinflation / Energy Shock,물가·에너지 재상승장,us_global,-0.378862,-0.002846,0.0,negative,0.378862,medium,72.540929,rolling_beta,v3,1,1185,1185,2,market,pass,N,,2026-06-09,0,0.0,0.0,high,N,scenario inactive,inactive scenario,-0.017068,,-0.002846,inflation_hedge,성장 부담이 있는데 유가·원자재·인플레이션 압력이 다시 커지는 장세입니다. 에너지/원자재 수혜와 장기채 부담을 함께 봅니다.
000270.KS,000270.KS,kr_stock,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,-0.040102,-0.002846,0.0,neutral,0.040102,low,65.4571,rolling_beta,v3,1,1185,1185,3,market,pass,N,,2026-06-09,0,0.0,0.0,high,N,non-adverse scenario,inactive scenario,-0.040102,-0.045022,-0.002846,neutral_or_defensive,우호적 위험선호장 참여 민감도
000660.KS,000660.KS,kr_stock,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,0.68326,-0.005944,1.277738,positive,0.68326,medium,70.962151,rolling_beta,v3,1,1078,1078,4,market,pass,N,,2026-06-09,1,0.975204,0.975204,high,Y,trade-gated adverse scenario with medium/high evidence,active market context,-0.815826,1.277738,-0.005944,krw_weakness_vulnerable,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.
000660.KS,000660.KS,kr_stock,china_trade_fragmentation_shock,China / Trade Fragmentation Shock,중국·무역분절 충격장,china_asia,0.985199,-0.005944,1.277738,positive,0.985199,high,65.435166,rolling_beta,v3,1,1078,1078,5,market,pass,N,,2026-06-09,1,0.963122,0.963122,high,Y,trade-gated adverse scenario with medium/high evidence,active market context,1.458015,1.277738,-0.005944,china_asia_shock_vulnerable,중국 경기·무역갈등·공급망 충격이 한국/아시아와 반도체 자산에 번지는 장세입니다. 한국 반도체 factor와 원화 약세를 함께 확인합니다.
000660.KS,000660.KS,kr_stock,acute_global_stress_liquidity_crunch,Acute Global Stress / Liquidity Crunch,급성 리스크오프/유동성 경색장,us_global,0.267464,-0.005944,0.172471,positive,0.267464,low,76.127067,rolling_beta,v3,1,1185,1185,3,market,pass,N,,2026-06-09,1,0.942163,0.942163,high,Y,trade-gated adverse scenario with medium/high evidence,active market context,-0.000128,0.172471,-0.005944,liquidity_stress_vulnerable,변동성이 튀고 위험자산이 동반 약세를 보이는 단기 스트레스 장세입니다. 상관관계 상승과 유동성 악화를 우선 점검합니다.
000660.KS,000660.KS,kr_stock,higher_for_longer_long_rate_shock,Higher-for-Longer / Long-Rate Shock,장기금리 부담장,us_global,0.25,-0.005944,0.172471,positive,0.25,low,62.128209,rolling_beta,v3,1,1185,1185,3,market,pass,N,,2026-06-09,1,0.908767,0.908767,high,Y,trade-gated adverse scenario with medium/high evidence,active market context,-0.000128,0.172471,-0.005944,rate_sensitive,장기금리와 달러 강세 부담이 채권·성장주·신용자산을 압박하는 장세입니다. 고밸류 성장주와 반도체 factor 민감도를 점검합니다.
000660.KS,000660.KS,kr_stock,semiconductor_ai_cycle_shock,Semiconductor / AI Cycle Shock,AI·반도체 사이클 충격장,korea_semiconductor,0.988738,-0.005944,0.20459,positive,0.988738,high,43.672,rolling_beta,v3,1,1078,1078,6,market,pass,N,,2026-06-09,1,0.377914,0.0,medium,N,context only: WATCH state,context only: WATCH state,0.148631,0.20459,-0.005944,semiconductor_ai_shock_vulnerable,"AI capex 기대와 반도체 모멘텀이 꺾이면서 미국 성장주와 한국 반도체 대형주가 동시에 압박받는 장세입니다. SOXX, AI leader basket, 한국 반도체 basket의 동반 약세와 원화 압력을 함께 봅니다."
000660.KS,000660.KS,kr_stock,korea_domestic_financial_stress,Korea Domestic Financial Stress,한국 내수 금융스트레스장,korea_market,1.280242,-0.005944,1.277738,positive,1.280242,high,61.630274,rolling_beta,v3,1,1078,1078,5,seed,pass,Y,,2026-06-09,1,0.401006,0.0,medium,N,context only: source_quality=seed,context only: source_quality=seed,1.458015,1.277738,-0.005944,korea_financial_stress_vulnerable,"가계부채, 부동산 PF, 비은행권, 금융주와 건설주 스트레스가 한국 자산 전반으로 번지는 장세입니다. 금융/건설 basket, 신용 spread, 단기자금 spread, 원화 약세를 함께 점검합니다."
000660.KS,000660.KS,kr_stock,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,지정학 확전·공급충격장,geopolitical,0.348591,-0.005944,0.0,positive,0.348591,medium,65.604388,rolling_beta,v3,1,1078,1078,3,manual,pass,Y,,2026-06-09,1,0.398559,0.0,medium,N,context only: source_quality=manual,context only: source_quality=manual,-0.046433,,-0.005944,geopolitical_supply_shock_vulnerable,"전쟁, 제재, 해상로 차질, 대만·중동·한반도 긴장처럼 유가·금·방산·변동성이 동시에 움직이는 이벤트성 충격 장세입니다. 뉴스 overlay는 가격 신호를 보강하는 용도로만 해석합니다."
000660.KS,000660.KS,kr_stock,slowdown_recession_deflation_risk,Slowdown / Recession / Deflation Risk,경기둔화/침체 우려장,us_global,0.207944,-0.005944,0.172471,positive,0.207944,low,72.589407,rolling_beta,v3,1,1185,1185,3,market,pass,N,,2026-06-09,0,0.0,0.0,high,N,scenario inactive,inactive scenario,-0.000128,0.172471,-0.005944,slowdown_vulnerable,수요 둔화와 침체/디플레이션 압력이 커지는 방어적 장세입니다. 주식 beta와 신용위험을 보수적으로 봅니다.
000660.KS,000660.KS,kr_stock,stagflation_reinflation_energy_shock,Stagflation / Reinflation / Energy Shock,물가·에너지 재상승장,us_global,0.148591,-0.005944,0.0,positive,0.148591,low,72.540929,rolling_beta,v3,1,1185,1185,2,market,pass,N,,2026-06-09,0,0.0,0.0,high,N,scenario inactive,inactive scenario,-0.046433,,-0.005944,stagflation_vulnerable,성장 부담이 있는데 유가·원자재·인플레이션 압력이 다시 커지는 장세입니다. 에너지/원자재 수혜와 장기채 부담을 함께 봅니다.
000660.KS,000660.KS,kr_stock,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,-0.000128,-0.005944,0.172471,neutral,0.000128,low,65.4571,rolling_beta,v3,1,1185,1185,3,market,pass,N,,2026-06-09,0,0.0,0.0,high,N,non-adverse scenario,inactive scenario,-0.000128,0.172471,-0.005944,neutral_or_defensive,우호적 위험선호장 참여 민감도
000810.KS,000810.KS,kr_stock,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,0.558765,-0.002283,0.55879,positive,0.558765,medium,70.962151,rolling_beta,v3,1,1078,1078,4,market,pass,N,,2026-06-09,1,0.975204,0.975204,high,Y,trade-gated adverse scenario with medium/high evidence,active market context,-0.312928,0.55879,-0.002283,krw_weakness_vulnerable,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.
