date,source,title,url_or_ref,event_type,region,affected_assets,direction,severity,novelty,time_horizon,scenario_links,evidence_span,extract_confidence
2026-05-11,reviewed_fixture,Disinflation and steady growth support risk appetite,local://phase5-wave2/normal-soft-landing,risk_sentiment,global,SPY|QQQ|HYG,risk_on,58,46,weeks,soft_landing_goldilocks,Reviewed fixture: risk appetite and stable growth support a favorable soft-landing diagnosis,82
2026-05-11,reviewed_fixture,Services demand is slower but not recessionary,local://phase5-wave2/normal-slowdown,growth,global,SPY|IEF,growth_down,44,40,weeks,slowdown_recession_deflation_risk,Reviewed fixture: softer demand is present but below standalone recession stress,74
2026-05-11,reviewed_fixture,Long-end yields stay high as policy patience continues,local://phase5-wave2/stress-rates,rate,us,TLT|QQQ|SOXX,rate_up,72,62,weeks,higher_for_longer_long_rate_shock,Reviewed fixture: long-end yield pressure remains a direct stress overlay for duration and growth assets,84
2026-05-11,reviewed_fixture,Oil and broad commodities rebound on supply concern,local://phase5-wave2/stress-energy,commodity,global,USO|DBC|XLE,inflation_up,69,60,weeks,stagflation_reinflation_energy_shock,Reviewed fixture: commodity pressure supports reinflation and energy shock monitoring,80
2026-05-11,reviewed_fixture,Volatility rises as credit spreads widen from low levels,local://phase5-wave2/stress-liquidity,credit,global,SPY|HYG|SHY,risk_off,65,58,days,acute_global_stress_liquidity_crunch,Reviewed fixture: credit and volatility pressure raises acute global stress evidence,78
2026-05-11,reviewed_fixture,Shipping and oil risk rise after geopolitical escalation,local://phase5-wave2/stress-geopolitical,geopolitics,global,USO|GLD|PPA|ITA,risk_off,75,70,days,geopolitical_escalation_supply_shock,Reviewed fixture: geopolitical escalation supports supply shock scenario only as an overlay to price signals,82
2026-05-11,reviewed_fixture,Won volatility keeps Korea portfolios exposed to dollar strength,local://phase5-wave2/korea-fx,fx,korea,KRW=X|EWY|005930.KS,fx_pressure,70,62,days,usd_strength_krw_weakness,Reviewed fixture: USD/KRW pressure remains a separate lens for Korean investors,84
2026-05-11,reviewed_fixture,AI semiconductor leaders pull back as capex expectations are questioned,local://phase5-wave2/semiconductor-ai,semiconductor,global,NVDA|AVGO|AMD|SOXX|005930.KS|000660.KS,semiconductor_down,73,68,days,semiconductor_ai_cycle_shock,Reviewed fixture: AI and semiconductor proxy weakness supports the V2 cycle shock scenario,83
2026-05-11,reviewed_fixture,Korean bank and construction shares lag on domestic credit concerns,local://phase5-wave2/korea-financial-stress,credit,korea,105560.KS|055550.KS|000720.KS|EWY,risk_off,67,64,weeks,korea_domestic_financial_stress,Reviewed fixture: Korea domestic credit and property-finance stress is flagged for final merge review,79
2026-05-11,reviewed_fixture,China demand and trade pressure weigh on Asia exporters,local://phase5-wave2/china-trade,trade,china,FXI|EWY|SOXX|005930.KS,trade_pressure,66,61,weeks,china_trade_fragmentation_shock,Reviewed fixture: China demand and trade pressure can spill into Korea semiconductor exposure,80
