as_of_date,date,scenario_code,scenario_name,scenario_name_ko,lens,related_lenses,source_quality,event_or_seed_dependent,score,raw_state,display_state,confidence,coverage,top_positive_drivers,top_negative_drivers,market_interpretation_ko,engine_version
2026-06-04,2026-06-04,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,market,N,79.259566,STRESS,STRESS,82.164232,0.956522,"USD/KRW level (+0.3000, z=+2.05) | USD/KRW 20d return (+0.2500, z=+2.62) | FXI 20d return (+0.1108, z=-1.48)",,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,phase6_final_market_state_v1
2026-06-04,2026-06-04,china_trade_fragmentation_shock,China / Trade Fragmentation Shock,중국·무역분절 충격장,china_asia,korea_market|korea_semiconductor|fx_krw,market,N,64.595008,ACTIVE,ACTIVE,73.223023,0.916667,"FXI 20d return (+0.2216, z=-1.48) | USD/KRW 20d return (+0.1500, z=+2.62) | FXI minus SPY 20d return (+0.1000, z=-2.11)",,중국 경기·무역갈등·공급망 충격이 한국/아시아와 반도체 자산에 번지는 장세입니다. 한국 반도체 factor와 원화 약세를 함께 확인합니다.,phase6_final_market_state_v1
2026-06-04,2026-06-04,higher_for_longer_long_rate_shock,Higher-for-Longer / Long-Rate Shock,장기금리 부담장,us_global,korea_semiconductor|fx_krw,market,N,61.0719,ACTIVE,ACTIVE,60.332483,1.0,"USD/KRW 20d return (+0.1500, z=+2.62) | UUP 20d return (+0.0818, z=+1.09)","QQQ 20d return (-0.0734, z=+0.73)",장기금리와 달러 강세 부담이 채권·성장주·신용자산을 압박하는 장세입니다. 고밸류 성장주와 반도체 factor 민감도를 점검합니다.,phase6_final_market_state_v1
2026-06-04,2026-06-04,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,지정학 확전·공급충격장,geopolitical,us_global|korea_market|fx_krw|inflation,manual,Y,51.065964,WATCH,WATCH,55.203358,0.95,"USD/KRW 20d return (+0.1000, z=+2.62) | USO 5d return (+0.0471, z=+0.47)","VIX level (-0.0616, z=-0.82)","전쟁, 제재, 해상로 차질, 대만·중동·한반도 긴장처럼 유가·금·방산·변동성이 동시에 움직이는 이벤트성 충격 장세입니다. 뉴스 overlay는 가격 신호를 보강하는 용도로만 해석합니다.",phase6_final_market_state_v1
2026-06-04,2026-06-04,acute_global_stress_liquidity_crunch,Acute Global Stress / Liquidity Crunch,급성 리스크오프/유동성 경색장,us_global,korea_market|fx_krw,market,N,45.808152,WATCH,WATCH,45.804543,0.916667,"HYG 5d return (+0.0211, z=-0.28)","VIX level (-0.1231, z=-0.82) | GLD 5d return (-0.0143, z=-0.29)",변동성이 튀고 위험자산이 동반 약세를 보이는 단기 스트레스 장세입니다. 상관관계 상승과 유동성 악화를 우선 점검합니다.,phase6_final_market_state_v1
2026-06-04,2026-06-04,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,44.390828,OFF,OFF,55.277015,0.869565,"QQQ 20d return (+0.0917, z=+0.73)","USD/KRW 20d return (-0.1500, z=+2.62) | UUP 20d return (-0.0818, z=+1.09)",성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.,phase6_final_market_state_v1
2026-06-04,2026-06-04,stagflation_reinflation_energy_shock,Stagflation / Reinflation / Energy Shock,물가·에너지 재상승장,us_global,fx_krw,market,N,41.508969,OFF,OFF,53.197858,1.0,,"DBC 20d return (-0.0903, z=-0.90) | USO 20d return (-0.0509, z=-0.34) | TIP 20d return (-0.0486, z=-0.65)",성장 부담이 있는데 유가·원자재·인플레이션 압력이 다시 커지는 장세입니다. 에너지/원자재 수혜와 장기채 부담을 함께 봅니다.,phase6_final_market_state_v1
2026-06-04,2026-06-04,korea_domestic_financial_stress,Korea Domestic Financial Stress,한국 내수 금융스트레스장,korea_market,fx_krw|credit|real_estate,seed,Y,34.338683,OFF,OFF,84.809459,1.0,"Korea construction basket 20d return (+0.1168, z=-1.56)","Korea financials basket 20d return (-0.1738, z=+1.74) | Korea AA- 3Y credit spread (-0.1439, z=-1.44)","가계부채, 부동산 PF, 비은행권, 금융주와 건설주 스트레스가 한국 자산 전반으로 번지는 장세입니다. 금융/건설 basket, 신용 spread, 단기자금 spread, 원화 약세를 함께 점검합니다.",phase6_final_market_state_v1
2026-06-04,2026-06-04,semiconductor_ai_cycle_shock,Semiconductor / AI Cycle Shock,AI·반도체 사이클 충격장,korea_semiconductor,us_global|korea_market|fx_krw,market,N,29.808777,OFF,OFF,77.298138,1.0,,"Korea semis basket 20d return (-0.1500, z=+2.11) | SOXX 20d return (-0.1244, z=+1.00) | SOXX minus SPY 20d return (-0.1178, z=+1.18)","AI capex 기대와 반도체 모멘텀이 꺾이면서 미국 성장주와 한국 반도체 대형주가 동시에 압박받는 장세입니다. SOXX, AI leader basket, 한국 반도체 basket의 동반 약세와 원화 압력을 함께 봅니다.",phase6_final_market_state_v1
2026-06-04,2026-06-04,slowdown_recession_deflation_risk,Slowdown / Recession / Deflation Risk,경기둔화/침체 우려장,us_global,korea_market,market,N,25.451704,OFF,OFF,66.214823,0.916667,,"SPY 60d return (-0.1697, z=+1.13) | QQQ 60d return (-0.1318, z=+1.76) | TLT 60d return (-0.0991, z=-0.79)",수요 둔화와 침체/디플레이션 압력이 커지는 방어적 장세입니다. 주식 beta와 신용위험을 보수적으로 봅니다.,phase6_final_market_state_v1
