date,scenario_code,scenario_name,scenario_name_ko,lens,related_lenses,source_quality,event_or_seed_dependent,top_positive_drivers,top_negative_drivers,market_interpretation_ko,structured_score,structured_confidence,structured_coverage,structured_raw_state,structured_display_state,event_overlay_score,event_overlay_confidence,event_count,overlay_applied,final_score,final_confidence,final_state,final_display_state,merge_engine_version
2021-08-18,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,market,N,"USD/KRW level (+0.3000, z=+2.06)",,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,100.0,26.086957,0.26087,STRESS,PROVISIONAL,,,0,N,100.0,26.086957,STRESS,PROVISIONAL,phase6_final_market_state_v1
2021-08-19,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,market,N,"USD/KRW level (+0.3000, z=+2.32)",,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,100.0,26.086957,0.26087,STRESS,PROVISIONAL,,,0,N,100.0,26.086957,STRESS,PROVISIONAL,phase6_final_market_state_v1
2021-08-22,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,market,N,"USD/KRW level (+0.3000, z=+2.14)",,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,100.0,26.086957,0.26087,STRESS,PROVISIONAL,,,0,N,100.0,26.086957,STRESS,PROVISIONAL,phase6_final_market_state_v1
2021-08-23,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,market,N,"USD/KRW level (+0.2515, z=+1.68)",,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,91.919931,23.557544,0.26087,STRESS,PROVISIONAL,,,0,N,91.919931,23.557544,STRESS,PROVISIONAL,phase6_final_market_state_v1
2021-08-23,acute_global_stress_liquidity_crunch,Acute Global Stress / Liquidity Crunch,급성 리스크오프/유동성 경색장,us_global,korea_market|fx_krw,market,N,,"VIX level (-0.0201, z=-0.13)",변동성이 튀고 위험자산이 동반 약세를 보이는 단기 스트레스 장세입니다. 상관관계 상승과 유동성 악화를 우선 점검합니다.,46.656535,11.00304,0.25,WATCH,PROVISIONAL,,,0,N,46.656535,11.00304,WATCH,PROVISIONAL,phase6_final_market_state_v1
2021-08-23,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,지정학 확전·공급충격장,geopolitical,us_global|korea_market|fx_krw|inflation,manual,Y,,"VIX level (-0.0100, z=-0.13)","전쟁, 제재, 해상로 차질, 대만·중동·한반도 긴장처럼 유가·금·방산·변동성이 동시에 움직이는 이벤트성 충격 장세입니다. 뉴스 overlay는 가격 신호를 보강하는 용도로만 해석합니다.",46.656535,6.601824,0.15,WATCH,PROVISIONAL,,,0,N,46.656535,6.601824,WATCH,PROVISIONAL,phase6_final_market_state_v1
2021-08-23,semiconductor_ai_cycle_shock,Semiconductor / AI Cycle Shock,AI·반도체 사이클 충격장,korea_semiconductor,us_global|korea_market|fx_krw,market,N,,"VIX level (-0.0033, z=-0.13)","AI capex 기대와 반도체 모멘텀이 꺾이면서 미국 성장주와 한국 반도체 대형주가 동시에 압박받는 장세입니다. SOXX, AI leader basket, 한국 반도체 basket의 동반 약세와 원화 압력을 함께 봅니다.",46.656535,2.200608,0.05,WATCH,PROVISIONAL,,,0,N,46.656535,2.200608,WATCH,PROVISIONAL,phase6_final_market_state_v1
2021-08-24,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,market,N,"USD/KRW level (+0.2099, z=+1.40)",,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,84.989558,21.388036,0.26087,STRESS,PROVISIONAL,,,0,N,84.989558,21.388036,STRESS,PROVISIONAL,phase6_final_market_state_v1
2021-08-24,acute_global_stress_liquidity_crunch,Acute Global Stress / Liquidity Crunch,급성 리스크오프/유동성 경색장,us_global,korea_market|fx_krw,market,N,,"VIX level (-0.0132, z=-0.09)",변동성이 튀고 위험자산이 동반 약세를 보이는 단기 스트레스 장세입니다. 상관관계 상승과 유동성 악화를 우선 점검합니다.,47.801597,10.659521,0.25,WATCH,PROVISIONAL,,,0,N,47.801597,10.659521,WATCH,PROVISIONAL,phase6_final_market_state_v1
2021-08-24,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,지정학 확전·공급충격장,geopolitical,us_global|korea_market|fx_krw|inflation,manual,Y,,"VIX level (-0.0066, z=-0.09)","전쟁, 제재, 해상로 차질, 대만·중동·한반도 긴장처럼 유가·금·방산·변동성이 동시에 움직이는 이벤트성 충격 장세입니다. 뉴스 overlay는 가격 신호를 보강하는 용도로만 해석합니다.",47.801597,6.395712,0.15,WATCH,PROVISIONAL,,,0,N,47.801597,6.395712,WATCH,PROVISIONAL,phase6_final_market_state_v1
2021-08-24,semiconductor_ai_cycle_shock,Semiconductor / AI Cycle Shock,AI·반도체 사이클 충격장,korea_semiconductor,us_global|korea_market|fx_krw,market,N,,"VIX level (-0.0022, z=-0.09)","AI capex 기대와 반도체 모멘텀이 꺾이면서 미국 성장주와 한국 반도체 대형주가 동시에 압박받는 장세입니다. SOXX, AI leader basket, 한국 반도체 basket의 동반 약세와 원화 압력을 함께 봅니다.",47.801597,2.131904,0.05,WATCH,PROVISIONAL,,,0,N,47.801597,2.131904,WATCH,PROVISIONAL,phase6_final_market_state_v1
2021-08-25,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,market,N,"USD/KRW level (+0.2041, z=+1.36)",,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,84.012316,21.082116,0.26087,STRESS,PROVISIONAL,,,0,N,84.012316,21.082116,STRESS,PROVISIONAL,phase6_final_market_state_v1
2021-08-25,acute_global_stress_liquidity_crunch,Acute Global Stress / Liquidity Crunch,급성 리스크오프/유동성 경색장,us_global,korea_market|fx_krw,market,N,,"VIX level (-0.0546, z=-0.36)",변동성이 튀고 위험자산이 동반 약세를 보이는 단기 스트레스 장세입니다. 상관관계 상승과 유동성 악화를 우선 점검합니다.,40.898001,12.7306,0.25,WATCH,PROVISIONAL,,,0,N,40.898001,12.7306,WATCH,PROVISIONAL,phase6_final_market_state_v1
2021-08-25,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,지정학 확전·공급충격장,geopolitical,us_global|korea_market|fx_krw|inflation,manual,Y,,"VIX level (-0.0273, z=-0.36)","전쟁, 제재, 해상로 차질, 대만·중동·한반도 긴장처럼 유가·금·방산·변동성이 동시에 움직이는 이벤트성 충격 장세입니다. 뉴스 overlay는 가격 신호를 보강하는 용도로만 해석합니다.",40.898001,7.63836,0.15,WATCH,PROVISIONAL,,,0,N,40.898001,7.63836,WATCH,PROVISIONAL,phase6_final_market_state_v1
2021-08-25,semiconductor_ai_cycle_shock,Semiconductor / AI Cycle Shock,AI·반도체 사이클 충격장,korea_semiconductor,us_global|korea_market|fx_krw,market,N,,"VIX level (-0.0091, z=-0.36)","AI capex 기대와 반도체 모멘텀이 꺾이면서 미국 성장주와 한국 반도체 대형주가 동시에 압박받는 장세입니다. SOXX, AI leader basket, 한국 반도체 basket의 동반 약세와 원화 압력을 함께 봅니다.",40.898001,2.54612,0.05,WATCH,PROVISIONAL,,,0,N,40.898001,2.54612,WATCH,PROVISIONAL,phase6_final_market_state_v1
2021-08-26,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,market,N,"USD/KRW level (+0.2542, z=+1.69)",,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,92.36049,23.695458,0.26087,STRESS,PROVISIONAL,,,0,N,92.36049,23.695458,STRESS,PROVISIONAL,phase6_final_market_state_v1
2021-08-26,acute_global_stress_liquidity_crunch,Acute Global Stress / Liquidity Crunch,급성 리스크오프/유동성 경색장,us_global,korea_market|fx_krw,market,N,"VIX level (+0.1453, z=+0.97)",,변동성이 튀고 위험자산이 동반 약세를 보이는 단기 스트레스 장세입니다. 상관관계 상승과 유동성 악화를 우선 점검합니다.,74.209578,17.262873,0.25,ACTIVE,PROVISIONAL,,,0,N,74.209578,17.262873,ACTIVE,PROVISIONAL,phase6_final_market_state_v1
2021-08-26,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,지정학 확전·공급충격장,geopolitical,us_global|korea_market|fx_krw|inflation,manual,Y,"VIX level (+0.0726, z=+0.97)",,"전쟁, 제재, 해상로 차질, 대만·중동·한반도 긴장처럼 유가·금·방산·변동성이 동시에 움직이는 이벤트성 충격 장세입니다. 뉴스 overlay는 가격 신호를 보강하는 용도로만 해석합니다.",74.209578,10.357724,0.15,ACTIVE,PROVISIONAL,,,0,N,74.209578,10.357724,ACTIVE,PROVISIONAL,phase6_final_market_state_v1
2021-08-26,semiconductor_ai_cycle_shock,Semiconductor / AI Cycle Shock,AI·반도체 사이클 충격장,korea_semiconductor,us_global|korea_market|fx_krw,market,N,"VIX level (+0.0242, z=+0.97)",,"AI capex 기대와 반도체 모멘텀이 꺾이면서 미국 성장주와 한국 반도체 대형주가 동시에 압박받는 장세입니다. SOXX, AI leader basket, 한국 반도체 basket의 동반 약세와 원화 압력을 함께 봅니다.",74.209578,3.452575,0.05,ACTIVE,PROVISIONAL,,,0,N,74.209578,3.452575,ACTIVE,PROVISIONAL,phase6_final_market_state_v1
2021-08-27,acute_global_stress_liquidity_crunch,Acute Global Stress / Liquidity Crunch,급성 리스크오프/유동성 경색장,us_global,korea_market|fx_krw,market,N,,"VIX level (-0.0954, z=-0.64)",변동성이 튀고 위험자산이 동반 약세를 보이는 단기 스트레스 장세입니다. 상관관계 상승과 유동성 악화를 우선 점검합니다.,34.106975,14.767907,0.25,OFF,OFF,,,0,N,34.106975,14.767907,OFF,OFF,phase6_final_market_state_v1
2021-08-27,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,지정학 확전·공급충격장,geopolitical,us_global|korea_market|fx_krw|inflation,manual,Y,,"VIX level (-0.0477, z=-0.64)","전쟁, 제재, 해상로 차질, 대만·중동·한반도 긴장처럼 유가·금·방산·변동성이 동시에 움직이는 이벤트성 충격 장세입니다. 뉴스 overlay는 가격 신호를 보강하는 용도로만 해석합니다.",34.106975,8.860744,0.15,OFF,OFF,,,0,N,34.106975,8.860744,OFF,OFF,phase6_final_market_state_v1
2021-08-27,semiconductor_ai_cycle_shock,Semiconductor / AI Cycle Shock,AI·반도체 사이클 충격장,korea_semiconductor,us_global|korea_market|fx_krw,market,N,,"VIX level (-0.0159, z=-0.64)","AI capex 기대와 반도체 모멘텀이 꺾이면서 미국 성장주와 한국 반도체 대형주가 동시에 압박받는 장세입니다. SOXX, AI leader basket, 한국 반도체 basket의 동반 약세와 원화 압력을 함께 봅니다.",34.106975,2.953581,0.05,OFF,OFF,,,0,N,34.106975,2.953581,OFF,OFF,phase6_final_market_state_v1
2021-08-29,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,market,N,"USD/KRW level (+0.1772, z=+1.18)",,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,79.527833,19.678278,0.26087,STRESS,PROVISIONAL,,,0,N,79.527833,19.678278,STRESS,PROVISIONAL,phase6_final_market_state_v1
2021-08-30,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,market,N,"USD/KRW level (+0.2076, z=+1.38)",,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,84.60617,21.268018,0.26087,STRESS,PROVISIONAL,,,0,N,84.60617,21.268018,STRESS,PROVISIONAL,phase6_final_market_state_v1
