scenario_code,scenario_name,scenario_name_ko,lens,related_lenses,source_quality,event_or_seed_dependent,phase,layer,description,market_interpretation_ko,merged_concepts,signal_count,status_model,is_favorable
soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,Growth holds up while inflation cools.,성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.,"Base, normal market",7,OFF/WATCH/ACTIVE/STRESS,Y
slowdown_recession_deflation_risk,Slowdown / Recession / Deflation Risk,경기둔화/침체 우려장,us_global,korea_market,market,N,V1,macro_regime,Demand weakens and recession pressure builds.,수요 둔화와 침체/디플레이션 압력이 커지는 방어적 장세입니다. 주식 beta와 신용위험을 보수적으로 봅니다.,"Growth slowdown, deflation",7,OFF/WATCH/ACTIVE/STRESS,N
higher_for_longer_long_rate_shock,Higher-for-Longer / Long-Rate Shock,장기금리 부담장,us_global,korea_semiconductor|fx_krw,market,N,V1,market_expression,Long rates and policy burden pressure asset prices.,장기금리와 달러 강세 부담이 채권·성장주·신용자산을 압박하는 장세입니다. 고밸류 성장주와 반도체 factor 민감도를 점검합니다.,"Rate shock, fiscal premium",7,OFF/WATCH/ACTIVE/STRESS,N
stagflation_reinflation_energy_shock,Stagflation / Reinflation / Energy Shock,물가·에너지 재상승장,us_global,fx_krw,market,N,V1,macro_regime,Growth is weak while inflation and commodities rise again.,성장 부담이 있는데 유가·원자재·인플레이션 압력이 다시 커지는 장세입니다. 에너지/원자재 수혜와 장기채 부담을 함께 봅니다.,"Reinflation, oil spike, commodity spike",6,OFF/WATCH/ACTIVE/STRESS,N
usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,market,N,V1,market_expression,Dollar strength and won weakness dominate the tape.,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,"Won weakness, dollar strength",7,OFF/WATCH/ACTIVE/STRESS,N
acute_global_stress_liquidity_crunch,Acute Global Stress / Liquidity Crunch,급성 리스크오프/유동성 경색장,us_global,korea_market|fx_krw,market,N,V1,market_expression,Cross-asset correlations converge during an acute stress event.,변동성이 튀고 위험자산이 동반 약세를 보이는 단기 스트레스 장세입니다. 상관관계 상승과 유동성 악화를 우선 점검합니다.,GFC or COVID type shock,8,OFF/WATCH/ACTIVE/STRESS,N
china_trade_fragmentation_shock,China / Trade Fragmentation Shock,중국·무역분절 충격장,china_asia,korea_market|korea_semiconductor|fx_krw,market,N,V1,shock_driver,China weakness and trade fragmentation spill into Asia.,중국 경기·무역갈등·공급망 충격이 한국/아시아와 반도체 자산에 번지는 장세입니다. 한국 반도체 factor와 원화 약세를 함께 확인합니다.,"China slowdown, tariff or fragmentation shock",8,OFF/WATCH/ACTIVE/STRESS,N
semiconductor_ai_cycle_shock,Semiconductor / AI Cycle Shock,AI·반도체 사이클 충격장,korea_semiconductor,us_global|korea_market|fx_krw,market,N,V2,shock_driver,AI capex and semiconductor momentum roll over together.,"AI capex 기대와 반도체 모멘텀이 꺾이면서 미국 성장주와 한국 반도체 대형주가 동시에 압박받는 장세입니다. SOXX, AI leader basket, 한국 반도체 basket의 동반 약세와 원화 압력을 함께 봅니다.","AI capex disappointment, semiconductor de-rating, Korea growth shock",7,OFF/WATCH/ACTIVE/STRESS,N
korea_domestic_financial_stress,Korea Domestic Financial Stress,한국 내수 금융스트레스장,korea_market,fx_krw|credit|real_estate,seed,Y,V2,shock_driver,"Korea household debt, real estate PF, non-bank, financial, and construction stress rise together.","가계부채, 부동산 PF, 비은행권, 금융주와 건설주 스트레스가 한국 자산 전반으로 번지는 장세입니다. 금융/건설 basket, 신용 spread, 단기자금 spread, 원화 약세를 함께 점검합니다.","Korea credit spread, PF stress, construction stress, won weakness",8,OFF/WATCH/ACTIVE/STRESS,N
geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,지정학 확전·공급충격장,geopolitical,us_global|korea_market|fx_krw|inflation,manual,Y,V2,event_shock,"War, sanctions, shipping disruption, or regional escalation lift oil, gold, defense, volatility, and the dollar.","전쟁, 제재, 해상로 차질, 대만·중동·한반도 긴장처럼 유가·금·방산·변동성이 동시에 움직이는 이벤트성 충격 장세입니다. 뉴스 overlay는 가격 신호를 보강하는 용도로만 해석합니다.","Geopolitical escalation, supply shock, oil/gold/defense bid",8,OFF/WATCH/ACTIVE/STRESS,N
